ref_name,dis_name,mos,trc,ref_width,ref_height,ref_bits,dis_width,dis_height,dis_bits,codec
Chimera2_1000nit.mp4,Chimera2_1000nit_AVS3_r2.mp4,4.593393407662604,PQ,3840,2160,10,3840,2160,10,AVS
Chimera2_1000nit.mp4,Chimera2_1000nit_AVS3_r4.mp4,3.62071614074934,PQ,3840,2160,10,3840,2160,10,AVS
Chimera2_1000nit.mp4,Chimera2_1000nit_EEM_r4.mp4,1.269687309163962,PQ,3840,2160,10,3840,2160,10,EEM
Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r1.mp4,4.765578660903351,PQ,3840,2160,10,3840,2160,10,LTM
Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r2.mp4,4.671918085048045,PQ,3840,2160,10,3840,2160,10,LTM
Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r3.mp4,3.983092589649742,PQ,3840,2160,10,3840,2160,10,LTM
Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r4.mp4,2.338639364647121,PQ,3840,2160,10,3840,2160,10,LTM
Chimera2_1000nit.mp4,Chimera2_1000nit_VTM_r2.mp4,4.185235160548428,PQ,3840,2160,10,3840,2160,10,VTM
Chimera2_1000nit.mp4,Chimera2_1000nit_VTM_r3.mp4,2.250256533651239,PQ,3840,2160,10,3840,2160,10,VTM
Chimera3_1000nit.mp4,Chimera3_1000nit_AVS3_r3.mp4,4.388261258228634,PQ,3840,2160,10,3840,2160,10,AVS
Chimera3_1000nit.mp4,Chimera3_1000nit_EEM_r4.mp4,1.283091712123169,PQ,3840,2160,10,3840,2160,10,EEM
Chimera3_1000nit.mp4,Chimera3_1000nit_LTM_r1.mp4,4.813616596603726,PQ,3840,2160,10,3840,2160,10,LTM
Chimera3_1000nit.mp4,Chimera3_1000nit_NNVC_r1.mp4,4.78950693888762,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera3_1000nit.mp4,Chimera3_1000nit_NNVC_r2.mp4,4.8333595774,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera3_1000nit.mp4,Chimera3_1000nit_NNVC_r3.mp4,4.165942920350777,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera3_1000nit.mp4,Chimera3_1000nit_VTM_r1.mp4,4.775402975347525,PQ,3840,2160,10,3840,2160,10,VTM
Chimera4_1000nit.mp4,Chimera4_1000nit_AVS3_r1.mp4,4.468489337965403,PQ,3840,2160,10,3840,2160,10,AVS
Chimera4_1000nit.mp4,Chimera4_1000nit_AVS3_r2.mp4,4.372680845967329,PQ,3840,2160,10,3840,2160,10,AVS
Chimera4_1000nit.mp4,Chimera4_1000nit_AVS3_r4.mp4,3.515513008494889,PQ,3840,2160,10,3840,2160,10,AVS
Chimera4_1000nit.mp4,Chimera4_1000nit_AlphaVC-P_r4.mp4,1.698961665332682,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Chimera4_1000nit.mp4,Chimera4_1000nit_LTM_r1.mp4,4.609652234208924,PQ,3840,2160,10,3840,2160,10,LTM
Chimera4_1000nit.mp4,Chimera4_1000nit_NNVC_r3.mp4,4.297446056729266,PQ,3840,2160,10,3840,2160,10,NNVC
Chimera4_1000nit.mp4,Chimera4_1000nit_VTM_r2.mp4,3.377793151157771,PQ,3840,2160,10,3840,2160,10,VTM
Chimera4_1000nit.mp4,Chimera4_1000nit_VTM_r3.mp4,2.003779026831832,PQ,3840,2160,10,3840,2160,10,VTM
Chimera4_1000nit.mp4,Chimera4_1000nit_VTM_r4.mp4,1.043588365018539,PQ,3840,2160,10,3840,2160,10,VTM
Football1_1000nit.mp4,Football1_1000nit_AlphaVC-P_r2.mp4,4.453159045799485,PQ,3840,2160,10,3840,2160,10,AlphaVC-P
Football1_1000nit.mp4,Football1_1000nit_EEM_r3.mp4,2.361848053856991,PQ,3840,2160,10,3840,2160,10,EEM
Football1_1000nit.mp4,Football1_1000nit_VTM_r2.mp4,3.956091269288371,PQ,3840,2160,10,3840,2160,10,VTM
Nocturne1_1000nit.mp4,Nocturne1_1000nit_AVS3_r1.mp4,4.418258314224944,PQ,3840,2160,10,3840,2160,10,AVS
