ref_name,dis_name,trc,cvvdp,vmaf,wtpsnr,psnrl100,deltae
Buildings2.mp4,Buildings2_AVS3_QP40.mp4,HLG,9.096529007,91.045407,132.696000,27.233000,25.961000
Buildings2.mp4,Buildings2_AVS3_QP44.mp4,HLG,8.708719254,88.194707,129.466000,26.590000,25.410000
Buildings2.mp4,Buildings2_AVS3_QP48.mp4,HLG,8.188391685,84.297169,126.380000,25.882000,24.869000
Buildings2.mp4,Buildings2_DCVC-RT_QP0.mp4,HLG,6.551369667,69.512950,117.192000,23.862000,23.321000
Buildings2.mp4,Buildings2_DCVC-RT_QP10.mp4,HLG,7.907775402,80.893465,126.061000,25.460000,24.785000
Buildings2.mp4,Buildings2_DCVC-RT_QP21.mp4,HLG,8.509783745,85.242065,130.162000,26.245000,25.498000
Buildings2.mp4,Buildings2_DCVC-RT_QP42.mp4,HLG,9.331110954,92.569858,137.509000,27.703000,26.749000
Buildings2.mp4,Buildings2_EEM_QP0.mp4,HLG,9.487068176,94.221663,136.558000,27.717000,26.475000
Buildings2.mp4,Buildings2_EEM_QP1.mp4,HLG,9.096958160,90.699097,129.969000,26.875000,25.707000
Buildings2.mp4,Buildings2_EEM_QP2.mp4,HLG,8.777627945,88.506851,127.126000,26.372000,25.176000
Buildings2.mp4,Buildings2_EEM_QP3.mp4,HLG,7.620444298,79.122661,119.486000,24.792000,23.640000
Buildings2.mp4,Buildings2_LTM_QP21_2910.mp4,HLG,9.516956329,95.748934,136.825000,27.775000,26.752000
Buildings2.mp4,Buildings2_LTM_QP38_4059.mp4,HLG,7.351512909,77.958108,121.487000,24.884000,24.092000
Buildings2.mp4,Buildings2_NNVC_QP27.mp4,HLG,9.595535278,95.124691,138.960000,28.533000,27.064000
Buildings2.mp4,Buildings2_NNVC_QP42.mp4,HLG,7.827912331,81.562695,124.222000,25.515000,24.519000
Buildings2.mp4,Buildings2_VTM_QP27.mp4,HLG,9.577051163,94.917138,138.353000,28.446000,26.963000
Buildings2.mp4,Buildings2_VTM_QP37.mp4,HLG,8.744153023,88.321074,129.317000,26.623000,25.414000
Buildings2.mp4,Buildings2_VTM_QP42.mp4,HLG,7.801630020,81.306423,124.551000,25.423000,24.548000
Buildings2.mp4,Buildings2_VTM_QP47.mp4,HLG,6.418313980,69.977137,119.159000,24.074000,23.526000
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP36.mp4,PQ,9.305871964,94.644240,148.579000,39.027000,35.067000
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP40.mp4,PQ,9.051500320,91.301128,145.151000,38.246000,34.579000
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP44.mp4,PQ,8.719532967,86.413977,141.676000,37.377000,34.091000
Chimera13_1000nit.mp4,Chimera13_1000nit_AVS3_QP48.mp4,PQ,8.349643707,80.749852,137.914000,36.545000,33.562000
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP1.mp4,PQ,9.331897736,92.347301,144.347000,38.070000,33.817000
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP2.mp4,PQ,9.183850288,89.482939,142.307000,37.651000,33.618000
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP3.mp4,PQ,8.835257530,84.074281,138.005000,36.717000,33.349000
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP4.mp4,PQ,8.363632202,76.949238,133.541000,35.786000,32.967000
Chimera13_1000nit.mp4,Chimera13_1000nit_AlphaVC-P_QP5.mp4,PQ,7.699179173,67.828813,128.651000,34.687000,32.427000
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP13.mp4,PQ,7.387237549,71.750423,130.957000,35.036000,32.747000
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP25.mp4,PQ,8.199653625,82.649784,137.298000,36.489000,33.648000
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP38.mp4,PQ,8.825710297,91.305069,143.498000,37.954000,34.428000
Chimera13_1000nit.mp4,Chimera13_1000nit_DCVC-RT_QP50.mp4,PQ,9.245664597,96.288472,148.592000,39.167000,35.078000
